timestamp,active_node_count,max_pods,total_pods
2024-12-02 16:02:18,3,24,0
2024-12-02 16:02:33,3,25,1
2024-12-02 16:02:49,3,26,2
2024-12-02 16:03:04,3,26,3
2024-12-02 16:03:19,2,18,4
2024-12-02 16:03:34,2,17,5
2024-12-02 16:03:50,2,17,6
2024-12-02 16:04:05,2,15,7
2024-12-02 16:04:20,2,16,8
2024-12-02 16:04:36,2,16,9
2024-12-02 16:04:51,2,16,10
2024-12-02 16:05:06,2,16,11
2024-12-02 16:05:22,2,15,12
2024-12-02 16:05:37,2,14,13
2024-12-02 16:05:53,2,13,13
2024-12-02 16:06:08,2,12,12
2024-12-02 16:06:23,2,13,12
2024-12-02 16:06:39,2,13,11
2024-12-02 16:06:54,2,13,10
2024-12-02 16:07:09,2,13,9
2024-12-02 16:07:25,2,14,8
2024-12-02 16:07:40,2,14,7
2024-12-02 16:07:55,2,15,7
2024-12-02 16:08:10,2,15,7
2024-12-02 16:08:26,2,15,7
2024-12-02 16:08:41,2,15,7
2024-12-02 16:08:56,2,8,0
2024-12-02 16:09:11,2,15,0
2024-12-02 16:09:27,2,16,0
2024-12-02 16:09:42,2,16,0
2024-12-02 16:09:57,1,8,0
2024-12-02 16:10:12,1,8,0
2024-12-02 16:10:27,1,8,0
2024-12-02 16:10:42,1,8,0
2024-12-02 16:10:57,1,8,0
2024-12-02 16:11:12,1,8,0
