Pods (Control Input),Measured CPU Utilization,Error
-2.2156581780675,100.014979025,-20.014979025000002
6.6239539238043745,0.49156601875000006,79.50843398125
15.275029366566873,0.48652694375,79.51347305625
23.92608985921812,0.48657550625,79.51342449375
32.577984412966245,0.47904191249999994,79.5209580875
30.209854295281872,100.02746429375,-20.02746429375
28.03722316636687,99.97003894375,-19.970038943749998
25.863100975394374,99.98252271875,-19.982522718750005
23.690384457486875,99.97003894375,-19.970038943749998
21.517644220406876,99.97003894375,-19.970038943749998
19.344627896143127,99.97253295625,-19.972532956250006
17.1702342189275,99.985017975,-19.985017975000005
14.995587844655626,99.98751498125,-19.98751498125
12.820393047487501,99.992511975,-19.992511975
10.645484493915625,99.99001198125,-19.990011981250007
19.477867303563123,0.55644275625,79.44355724375
28.13264654550937,0.45418246875,79.54581753125
36.78503194756187,0.47405189375,79.52594810625
45.43385893660749,0.506537575,79.493462425
54.08660177065312,0.47172165625,79.52827834375
62.73581365930437,0.5030206187499999,79.49697938125
71.38288289201874,0.5229133375,79.4770866625
80.03386362455062,0.48792053125,79.51207946875
88.68532509406062,0.48297723125,79.51702276875
97.33194178284687,0.52665734375,79.47334265625
105.9854084351525,0.46552842499999997,79.534471575
114.64042185162124,0.4505066625,79.5494933375
123.29333192783999,0.46924920000000003,79.5307508
131.94627761488,0.46924920000000003,79.5307508
140.59853253253624,0.4754892125,79.5245107875
149.24762455129436,0.50416811875,79.49583188125
157.90270640375687,0.45055164375,79.54944835625
166.55464684658563,0.47800908125,79.52199091875
175.20664210012438,0.47798521875,79.52201478125
183.857393922465,0.48921725,79.51078275
192.50885785574062,0.48297723125,79.51702276875
201.15809946915374,0.5029452875,79.4970547125
209.80876598217372,0.4904162875,79.5095837125
218.46299527253933,0.45801716875,79.54198283125
227.11509069504433,0.47673721874999997,79.52326278125
235.76238629719057,0.52041733125,79.47958266875
244.41459764534432,0.47676101875,79.52323898125
253.06507083381308,0.49171325625,79.50828674375
261.71847623713495,0.46548195,79.53451805
270.36823722598933,0.49795326874999996,79.50204673125
279.0164048969181,0.51290370625,79.48709629375
287.6659796792175,0.500449275,79.499550725
296.31470187373003,0.5079373,79.4920627
304.9646816813494,0.49670526875,79.50329473125
313.61823215070376,0.4642571875,79.5357428125
322.2699249677525,0.480481225,79.519518775
